Designator,Footprint,Quantity,Value,LCSC Part #
3.7V,BHC-CR123A,1,Battery 3.7V,
"C1, C2, C3, C4",0805,4,100nF_Ceramic,
D1,LED_D3.0mm,1,LED_3mm,
D2,0805,1,DZ4V,
J1,PinSocket_1x04_P2.54mm_Vertical,1,Switches,
J2,PinSocket_1x13_P2.54mm_Vertical,1,LEDs,
J5,PinSocket_1x03_P2.54mm_Vertical,1,3.7 to 5V,
PMOS,SOT-23,1,AO3401A,
"R1, R6, R7, R8",0805,4,100R,
R11,0805,1,330R,
"R2, R3, R4",0805,3,33R,
"R5, R9",0805,2,10k,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPST,
SW2,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,1,SW_DIP_x03,
U1,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,SeeeduinoXIAO,
"U2, U3, U4, U5",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,4,WS2811,
