Designator,Mid X,Mid Y,Rotation,Layer
0.1uF,96.815001,-74.524998,90.0,top
10k_4,83.114999,-91.425001,0.0,top
10k_3,78.962999,-91.425001,180.0,top
10k_2,84.715001,-74.374998,180.0,top
10k,88.815001,-74.374998,0.0,top
10uF,94.465001,-74.524998,90.0,top
H1,76.115,-98.275,90.0,top
H2,107.715,-98.275,90.0,top
H3,76.114999,-69.874998,90.0,top
H4,107.715,-69.874997,90.0,top
J1,91.863,-96.545,0.0,top
J2,86.665001,-69.574998,180.0,top
J3,98.565001,-69.074998,270.0,top
MCP23017,86.115001,-83.545,180.0,top
SW2,101.134,-83.985,90.0,top
