Designator,Mid X,Mid Y,Rotation,Layer
C2,142.2654,-115.932546,180.0,top
C4,142.3844,-122.536545,180.0,top
C7,142.2654,-114.916546,0.0,top
D1,91.059,-116.008746,90.0,top
D6,130.175,-128.708746,90.0,top
IC2,142.6464,-119.406548,90.0,top
IC3,142.345404,-112.503546,180.0,top
J2,117.828,-130.163246,0.0,top
JP1,146.060399,-127.636544,0.0,bottom
JP2,146.060401,-125.102545,0.0,bottom
JP5,146.0604,-122.536546,0.0,bottom
JP6,138.9634,-132.315546,270.0,bottom
JP7,141.4884,-132.315546,90.0,bottom
R1,116.459,-124.453746,90.0,top
R2,119.179001,-124.453745,90.0,top
R3,89.154002,-116.135747,90.0,top
R8,145.9484,-112.503546,180.0,top
SW5,90.2535,-125.152746,270.0,top
TP3,149.733,-101.997145,90.0,bottom
TP4,149.733,-105.045144,90.0,bottom
TP5,149.674802,-107.724144,180.0,bottom
U2,137.034799,-49.009997,180.0,top
U3,98.800198,-49.078089,180.0,top
U4,98.885301,-105.390147,0.0,top
U5,137.162003,-105.343545,0.0,top
U6,140.8684,-122.536545,270.0,top
