Designator,Mid X,Mid Y,Rotation,Layer
3.7V,138.593268,-85.214991,180.0,top
C1,136.161268,-48.064991,270.0,top
C2,145.543268,-54.160991,270.0,top
C3,151.385268,-54.160991,90.0,top
C4,127.017268,-48.064991,270.0,top
D1,146.305268,-47.864491,270.0,bottom
D2,146.051268,-70.715492,270.0,bottom
J1,154.458269,-64.130489,180.0,top
J2,139.178269,-40.01549,90.0,top
J5,124.944268,-69.977491,180.0,bottom
PMOS,150.115268,-70.649492,0.0,bottom
R1,148.845268,-54.198491,90.0,top
R11,146.305268,-44.308491,0.0,bottom
R2,139.955268,-54.160991,90.0,top
R3,131.319268,-54.176991,90.0,top
R4,122.191268,-54.144991,270.0,top
R5,134.621268,-58.278491,0.0,top
R6,142.241268,-54.160991,270.0,top
R7,133.859268,-54.160991,270.0,top
R8,124.715268,-54.160991,270.0,top
R9,142.495268,-71.74049,0.0,bottom
SW1,159.005268,-53.198491,90.0,top
SW2,146.544269,-61.791991,270.0,bottom
U1,139.023088,-44.836811,270.0,bottom
U2,150.826268,-47.931491,270.0,top
U3,141.682268,-48.019491,270.0,top
U4,132.030268,-47.997991,270.0,top
U5,122.826268,-47.978491,270.0,top
