Designator,Footprint,Quantity,Value,LCSC Part #
"BT2, BT3",BHC-CR123A,2,Battery_Cell,
"C2, C4, C7",C_0402,3,1uF,C52923
C3,1206,1,100uF,
D1,0805,1,LED,
D6,D_SOD-323_BigPads,1,1N5817M,
IC2,TXS0102DCTR,1,TXS0102DCTR,
IC3,SN74AHCT1G125DBVR,1,SN74.,
"R3, R8",0603,2,100R,
SW4,SW_SPDT_PCM12,1,Slide_Switch_SPDT,
TP10,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,BAT-,
TP3,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,SCL 5V,
TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,SDA 5V,
TP5,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,LED Data 5V,
TP9,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,BAT+,
"U2, U3, U4, U5",Mini_Module,4,~,
U6,XIAO-ESP32-S3-DIP,1,XIAO-ESP32-S3-SMD,
U7,2S_Li_Ion_Charger,1,8.4V 2S Charger,
U8,8.4V_2S_BMS,1,8.4V 2S BMS,
U9,CEDAR_5V_4A_Buck_Converter,1,5V 4A Stepdown,
