Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C4, C7",C_0402,3,1uF,C52923
D1,0805,1,LED,
D6,D_SOD-323_BigPads,1,1N5817M,
IC2,TXS0102DCTR,1,TXS0102DCTR,
IC3,SN74AHCT1G125DBVR,1,SN74AHCT1G125DBVR,
J2,USB-C_16,1,USB_C_Receptacle,
"R1, R2",0603,2,5.1k,
R3,0603,1,500R,
R8,0603,1,100R,
SW5,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,Slide_Switch_SPDT,
TP3,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,SCL 5V,
TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,SDA 5V,
TP5,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,LED Data 5V,
"U2, U3, U4, U5",Mini_Module,4,~,
U6,XIAO-ESP32-S3-DIP,1,XIAO-ESP32-S3-SMD,
