Designator,Mid X,Mid Y,Rotation,Layer
BT2,112.343735,-132.762186,270.0,top
BT3,123.832999,-132.722746,90.0,top
C2,147.32,-137.090746,180.0,top
C3,139.192,-124.976746,90.0,top
C4,147.439,-143.694745,180.0,top
C7,147.32,-136.074746,0.0,top
D1,154.686001,-124.907744,270.0,bottom
D6,141.977001,-136.324746,90.0,top
IC2,147.701,-140.564748,90.0,top
IC3,147.400004,-133.661746,180.0,top
JP1,151.114999,-148.794744,0.0,bottom
JP2,151.115001,-146.260745,0.0,bottom
JP5,151.115,-143.694746,0.0,bottom
JP6,144.018,-153.473746,270.0,bottom
JP7,146.543,-153.473746,90.0,bottom
R3,152.781003,-124.780743,270.0,bottom
R8,151.003,-133.661746,180.0,top
SW4,154.084,-114.484747,90.0,top
TP10,136.779,-125.914746,180.0,bottom
TP3,149.5478,-101.997145,90.0,bottom
TP4,149.547802,-105.045144,90.0,bottom
TP5,149.674802,-108.474144,180.0,bottom
TP9,136.811999,-118.303748,180.0,bottom
U2,137.034799,-49.009997,180.0,top
U3,98.800198,-49.078089,180.0,top
U4,98.885301,-105.390147,0.0,top
U5,137.162003,-105.343545,0.0,top
U6,145.923,-143.694745,270.0,top
U7,80.829,-154.804746,90.0,top
U8,141.583,-150.674746,90.0,top
U9,136.811999,-131.303748,90.0,top
