Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C4, C6, C7, C8",C_0402,5,1uF,C52923
"C3_4, C3_3, C3_2, C3",0603,4,10uF,
"C5_4, C5_3, C5_2, C5",0402,4,0.1uF,
D1,0805,1,LED,
D6,SOD-323,1,BAT60J,
"IC2, IC4",TXS0102DCTR,2,TXS0102DCTR,
IC3,SN74AHCT1G125DBVR,1,SN74AHCT1G125DBVR,
J2,USB-C_16,1,USB_C_Receptacle,
"J3, J4",Lever_Terminal_1x04_WJ142R-5.08,2,Screw_Terminal_01x04,
J5,Lever_Terminal_1x05_WJ142R-5.08,1,Screw_Terminal_01x05,
"J7_4, J7_3, J7_2, J7",IDC-Header_2x08_P2.54mm_Vertical,4,Conn_01x16,
"R1, R2",0603,2,5.1k,
"R3, R8",0603,2,100R,
"RN1_4, RN1_3, RN1_2, RN1",R_Array_Convex_4x0603,4,10k,
SW4,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,Slide_Switch_SPDT,
"U2_4, U2_3, U2_2, U2",SSOP-28_5.3x10.2mm_P0.65mm,4,MCP23017_SS,
U6,XIAO-ESP32-S3-DIP,1,XIAO-ESP32-S3-SMD,
