Designator,Mid X,Mid Y,Rotation,Layer
C2,110.6368,-102.866,0.0,top
C3_4,100.03716,-152.980001,0.0,top
C3_3,100.001002,-140.750828,0.0,top
C3_2,100.001002,-128.050828,0.0,top
C3,100.001002,-115.350828,0.0,top
C4,103.7592,-102.8562,90.0,top
C5_4,97.243158,-153.107,180.0,top
C5_3,97.207,-140.877827,180.0,top
C5_2,97.207,-128.177827,180.0,top
C5,97.207,-115.477827,180.0,top
C6,94.787202,-103.2296,90.0,top
C7,109.300797,-98.0628,270.0,top
C8,101.1372,-102.1548,90.0,top
D1,91.282001,-109.588002,90.0,top
D6,95.473,-96.516,180.0,top
H1,80.264,-72.644,0.0,top
H2,134.62,-72.644,0.0,top
H3,83.312,-167.894,90.0,top
H4,131.572,-167.894,270.0,top
IC2,106.9792,-103.12,0.0,top
IC3,111.637599,-99.29,90.0,top
IC4,97.9729,-103.0692,0.0,top
J2,81.2925,-100.58,270.0,top
J3,96.519998,-78.192,180.0,top
J4,120.649999,-78.238,180.0,top
J5,122.134,-100.838,90.0,top
J7_4,119.93916,-158.990002,270.0,top
J7_3,119.903002,-146.760829,270.0,top
J7_2,119.903002,-134.060829,270.0,top
J7,119.903002,-121.360829,270.0,top
JP10,99.7044,-106.0664,180.0,top
JP3_4,88.099159,-155.679,0.0,top
JP3_3,88.063001,-143.449827,0.0,top
JP3_2,88.063001,-130.749827,0.0,top
JP3,88.063001,-118.049827,0.0,top
JP4_4,88.09916,-158.822,0.0,top
JP4_3,88.063002,-146.592827,0.0,top
JP4_2,88.063002,-133.892827,0.0,top
JP4,88.063002,-121.192827,0.0,top
JP6,105.364,-106.2696,180.0,top
JP7,108.8484,-106.2188,180.0,top
JP8_4,88.099157,-161.902,0.0,top
JP8_3,88.062999,-149.672827,0.0,top
JP8_2,88.062999,-136.972827,0.0,top
JP8,88.062999,-124.272827,0.0,top
JP9,96.22,-106.0664,0.0,top
R1,86.552,-99.690999,0.0,top
R2,86.527002,-101.722999,0.0,top
R3,93.314002,-109.706003,270.0,top
R8,111.6528,-96.4144,0.0,top
RN1_4,91.701158,-161.56,0.0,top
RN1_3,91.665,-149.330827,0.0,top
RN1_2,91.665,-136.630827,0.0,top
RN1,91.665,-123.930827,0.0,top
SW4,84.1888,-109.6732,0.0,top
U2_4,99.049159,-158.466999,180.0,top
U2_3,99.013001,-146.237826,180.0,top
U2_2,99.013001,-133.537826,180.0,top
U2,99.013001,-120.837826,180.0,top
U6,103.2005,-101.829998,180.0,top
