Designator,Mid X,Mid Y,Rotation,Layer
BT1,103.124,-58.547,150.0,bottom
C1,101.727,-77.441,180.0,bottom
C2,101.727,-75.79,180.0,bottom
C3,101.727,-72.488,180.0,bottom
C4,101.727,-74.139,180.0,bottom
C5,111.633,-60.804,270.0,bottom
C6,125.095,-53.692,270.0,bottom
C7,125.095,-56.74,90.0,bottom
R1,95.631,-77.441,180.0,bottom
R10,104.8512,-70.2528,0.0,bottom
R2,98.679,-77.441,0.0,bottom
R3,95.631,-75.79,180.0,bottom
R4,98.679,-75.79,0.0,bottom
R5,95.631,-72.488,180.0,bottom
R6,98.679,-72.488,0.0,bottom
R7,95.631,-74.139,180.0,bottom
R8,98.679,-74.139,0.0,bottom
R9,104.902,-68.678,0.0,bottom
SW1,101.981,-59.748,0.0,top
SW2,116.537,-59.895,90.0,top
SW3,101.941,-74.716,90.0,top
SW4,116.586,-74.734,0.0,top
SW5,98.9584,-81.7194,0.0,bottom
U1,107.65028,-63.03518,180.0,bottom
U2,118.491,-56.994,270.0,bottom
