Designator,Footprint,Quantity,Value,LCSC Part #
"BATIN, BATOUT",SolderWirePad_1x01_SMD_1x2mm,2,TestPoint,
BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,CR1216,
"C1, C2, C3, C4",0603,4,1uF,
C5,0805,1,10uF,
D1,0603,1,LED,
"R1, R10, R3, R5, R7, R9",0603,6,10k,
"R11, R2, R4, R6, R8",0603,5,1k,
R12,0603,1,R,
"SW1, SW2, SW3, SW4",SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,4,SW_MEC_5E,
SW5,SW_SPDT_PCM12,1,SW_SPDT,
SW6,SW_SPST_B3U-3000P-B,1,Push_Button,
U1,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,SeeeduinoXIAO,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8523T,
Y1,Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm,1,Crystal_32.768kHz,
