Designator,Mid X,Mid Y,Rotation,Layer
BT1,102.997,-58.264,150.0,bottom
C1,104.420002,-79.092,270.0,bottom
C2,105.182002,-76.679,180.0,bottom
C3,104.420002,-72.615,90.0,bottom
C4,105.944002,-74.266,90.0,bottom
C5,115.076,-61.007,270.0,bottom
D1,95.123,-71.218,90.0,bottom
R1,98.946001,-78.33,180.0,bottom
R10,105.3402,-70.0908,0.0,bottom
R11,117.045,-61.007,270.0,bottom
R12,95.123002,-74.322001,270.0,bottom
R2,102.121001,-78.33,0.0,bottom
R3,98.946001,-76.679,180.0,bottom
R4,102.121001,-76.679,0.0,bottom
R5,98.946001,-73.377,180.0,bottom
R6,102.121001,-73.377,0.0,bottom
R7,98.946001,-75.028,180.0,bottom
R8,102.121001,-75.028,0.0,bottom
R9,105.391,-68.516,0.0,bottom
SW1,101.981,-59.748,0.0,top
SW2,116.537,-59.895,90.0,top
SW3,101.941,-74.716,90.0,top
SW4,116.586,-74.734,0.0,top
SW5,99.719,-81.937,0.0,bottom
SW6,94.742,-66.978,0.0,bottom
U1,107.65028,-63.03518,180.0,bottom
U3,116.205,-55.47,180.0,bottom
Y1,122.555,-57.502,180.0,bottom
