Designator,Mid X,Mid Y,Rotation,Layer
D1,78.700995,-85.240001,270.0,bottom
J1,89.700995,-82.500001,0.0,bottom
J2,209.700995,-99.104999,180.0,top
J3,187.550995,-99.309999,90.0,bottom
J4,78.675994,-114.664998,180.0,bottom
R1,78.700995,-80.240001,90.0,bottom
RGB_SW1,86.320996,-67.419999,0.0,top
RGB_SW10,199.920996,-99.020004,0.0,top
RGB_SW11,86.320996,-130.62,0.0,top
RGB_SW12,114.720997,-130.620001,0.0,top
RGB_SW13,143.120996,-130.62,0.0,top
RGB_SW14,171.520994,-130.619999,0.0,top
RGB_SW15,199.920996,-130.620002,0.0,top
RGB_SW2,114.720999,-67.42,0.0,top
RGB_SW3,143.120995,-67.419999,0.0,top
RGB_SW4,171.520998,-67.42,0.0,top
RGB_SW5,199.920994,-67.420003,0.0,top
RGB_SW6,86.320997,-99.020001,0.0,top
RGB_SW7,114.720997,-99.019998,0.0,top
RGB_SW8,143.120997,-99.019998,0.0,top
RGB_SW9,171.520995,-99.020001,0.0,top
SW1,82.700995,-83.050002,90.0,bottom
