Designator,Mid X,Mid Y,Rotation,Layer
0.1uF,112.005499,-85.1752,0.0,top
10uF,112.028995,-87.0548,0.0,top
J1,107.507795,-86.3088,180.0,bottom
J2,141.043395,-86.784,180.0,bottom
J4,141.043395,-81.6024,0.0,bottom
LED,107.964995,-82.5844,0.0,top
MCP23017,119.610995,-84.161,0.0,top
R1,107.964995,-80.8064,0.0,top
RGB_SW1,108.920995,-60.02,0.0,top
RGB_SW10,139.320995,-67.62,0.0,top
RGB_SW11,108.920995,-75.22,0.0,top
RGB_SW12,116.520995,-75.22,0.0,top
RGB_SW13,124.120995,-75.22,0.0,top
RGB_SW14,131.720995,-75.22,0.0,top
RGB_SW15,139.320995,-75.22,0.0,top
RGB_SW2,116.520995,-60.02,0.0,top
RGB_SW3,124.120995,-60.02,0.0,top
RGB_SW4,131.720995,-60.02,0.0,top
RGB_SW5,139.320995,-60.02,0.0,top
RGB_SW6,108.920995,-67.62,0.0,top
RGB_SW7,116.520995,-67.62,0.0,top
RGB_SW8,124.120995,-67.62,0.0,top
RGB_SW9,131.720995,-67.62,0.0,top
RN1,132.540594,-86.5664,180.0,top
RN2,111.553995,-81.831,270.0,top
RN3,128.546595,-86.5808,180.0,top
