Designator,Mid X,Mid Y,Rotation,Layer
10k_2,112.670995,-86.17,90.0,top
10k,116.270995,-86.17,90.0,top
C1,113.020995,-81.42,270.0,top
C2,114.520995,-81.42,270.0,top
J1,107.470995,-81.62,0.0,bottom
J2,107.470995,-86.32,0.0,bottom
J4,137.820995,-86.12,270.0,bottom
LED,116.470995,-85.02,270.0,bottom
R1,116.420995,-81.52,0.0,bottom
RGB_SW1,108.920995,-60.02,0.0,top
RGB_SW10,139.320995,-67.62,0.0,top
RGB_SW11,108.920995,-75.22,0.0,top
RGB_SW12,116.520995,-75.22,0.0,top
RGB_SW13,124.120995,-75.22,0.0,top
RGB_SW14,131.720995,-75.22,0.0,top
RGB_SW15,139.320995,-75.22,0.0,top
RGB_SW2,116.520995,-60.02,0.0,top
RGB_SW3,124.120995,-60.02,0.0,top
RGB_SW4,131.720995,-60.02,0.0,top
RGB_SW5,139.320995,-60.02,0.0,top
RGB_SW6,108.920995,-67.62,0.0,top
RGB_SW7,116.520995,-67.62,0.0,top
RGB_SW8,124.120995,-67.62,0.0,top
RGB_SW9,131.720995,-67.62,0.0,top
RN2,131.870995,-83.27,90.0,top
U1,124.448496,-83.919998,0.0,top
