Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_2460_1xAA,1,Battery_Cell,
D1,0805,1,LED,
J1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,JST_02,
J2,PinHeader_1x03_P2.54mm_Vertical,1,PINHD_1x3_Male,
J3,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
J4,Prototyping_pad,1,PINHD_2x5_Female,
J5,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST_02,
Q1,SOT-23,1,BSS138,
R3,0603,1,100R,
"R4, R5",0603,2,10k,
SW2,SW_DIP_SPSTx05_Slide_6.7x14.26mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x05,
SW3,SW_SPDT_PCM12,1,Slide_Switch_SPDT_P3mm_10x5x10mm,
TP1,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,1,BAT2,
TP2,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,1,BAT1,
U2,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,SeeeduinoXIAO,
