Designator,Mid X,Mid Y,Rotation,Layer
10k_2,79.1,-85.199999,90.0,top
10k,102.115001,-88.724998,180.0,top
C2,89.0,-77.5625,90.0,top
C3,90.999999,-77.562499,90.0,top
H1,76.115001,-95.074998,90.0,top
H2,107.715,-95.074998,90.0,top
H3,76.114999,-69.874998,90.0,top
H4,107.715,-69.874997,90.0,top
J1,92.0,-93.750001,0.0,top
J2,86.790001,-69.824999,180.0,top
J3,98.565001,-69.074998,270.0,top
MCP23017,87.142498,-84.999999,180.0,top
R4,83.23367,-77.619995,270.0,top
R5,85.191606,-77.62,270.0,top
SW2,99.615001,-80.769998,90.0,top
